area_detail,ward_name
veerana palya,gurappanapalya
"talacauvery layout ,",hsr layout
"venktegowda layout,pampa  layout,chiranjeevi layout",unknown
"munigurappa layout, renuka yelaamma temple road, kondappa layout, kalappa layout and kalappa layout govt. school surroundings  , hoysala layout, varadaraju layout, hoodi layout , l  &  t layout , & janatha colony ,padma tent road",unknown
"chanukya layout, colony, munivenkatappa layout",unknown
a2 block shakara nagara,shanthala nagar
"sondegoppa layout  , ayyappa temple road &  vinayaka layout",gali anjaneya swamy temple ward
"kariyanna palya,",manorayanapalya
talacauvery layout,hsr layout
shivram karanth nagara phase 1,shanthala nagar
"sandyagappa layout  , ayyappa temple road &  vinayaka layout",unknown
sadashivanagar,shivanagar
rajamahal vilas,rajamahal
lower palace orchards,konena agrahara
venkatarangapura,byatarayanapura
kempaiah block,kuvempunagar
muniveerappa block,marappanahalli
vyalikaval,jayamahal
jabbar block,hbr layout
vasanthappa block,vasanthapura
c.k.street,s.k. garden
a.n. block,unknown
doddabyrappa street,doddabidirakalu
muneshwara block,muneshwaranagar
kempanna brother layout,hsr layout
d. ramaiah layout,hsr layout
"1st & 2nd main road, p.g.halli",nayandanahalli
vyalikaval- from 3rd main to 8th main road,unknown
neharunagar - 1st to 4th cross,muneshwaranagar
risildar street mainroad & cross roads,unknown
"old savar line, s.s.puram- 1st to 5th cross",unknown
"subedar chathram road, sheshadripuram",mahalakshmipuram
hanumanthappa colony,hanumanthanagar
"shastrinagar, sanjaygandhinagar",sanjaynagar
"1st to 5th cross, jakkarayanakere -near old tank",unknown
"1st to 3rd cross, r.v.shetty layout, sheshadripuram",unknown
"1st to 3rd main road, sheshadripuram",vishweshrapuram
"jawaharlal road, sheshadripuram",mahalakshmipuram
"sirur park road & south end road, s.s.puram",unknown
"1st to 5th cross, link road",unknown
"ganesha block, krishna block, anjaneya block",gali anjaneya swamy temple ward
"mantri mall appartments, sampige road,",banashankari temple ward
"metro station, sheshadripuram",vishweshrapuram
"sripuram, chakravathy iyengar l/o, upper pipeline",vrushabhavathi nagar
"1st to 9th cross, pipeline, malleshwaram",malleshwaram
