Area Wise Water Supply timings ,,,,,
SI NO,Subdivision,service Station,Area(in Detail),Days of Supply,Timings
1714,,,"Manjunath Layout ( 3, 4, 5, 6thcross)",Wednesday ,8PM to 12 AM
1715,,,"Manjunath Layout ( 7, 8, 8 A, 8th B Cross)",,2 AM to 6:30AM
1716,,,L N Temple Main Road ( 7th A Main),,6:30 AM to 9:30AM
1717,,,Venkateshwara Layout ( 1st to 8th Cross),Thursady,8 PM to 12 AM
1718,,,ISRO Layout( 1 to 3rd Cross),,2 AM to 5:30 AM
1719,,,"Canara Layout ( 1st cross, 2nd cross, Main Road) ",,5:30 AM to 8:30 AM
1720,,,A K Colony,,8:30 AM to 9 AM
1721,,,Venkateshwara Layout ( 1st to 8th Cross),Sunday,8 PM to 12 AM
1722,,,"Manjunath Layout ( 3, 4, 5, 6thcross)",,2 AM to 5 AM
1723,,,"Manjunath Layout ( 7, 8, 8 A, 8th B Cross)",,5 AM to 8 AM
1724,,,L N Temple Main Road ( 7th A Main),,8 AM to 9 AM
1725,,,"Canara Layout ( 1st cross, 2nd cross, Main Road) ",Monday,4:30 PM to 7:30 PM
1726,,,ISRO Layout( 1 to 3rd Cross),Tuesday ,6 AM to 9 AM
1727,,,"Majunath Layout Extension ( 1 to 3rd cross, Main Road)",Monday ,2 AM to 6 AM
1728,,,,Thursday,4:30 PM to 7:30 PM
1729,,,"Manjunath Layout ( 9th cross, 9th Main, 9th A, 10th Cross)",Tuesday and Friday,2 AM to 5:30 AM
1730,,,"Manjunath Layout ( 10th A cross, 111th Cross, 12th Cross, Main Road)",,5:30 AM to 9 AM
1731,,,"Sai Baba Layout ( 1st to 3rd Cross, 1st A cross, 2nd A Cross)",Wednesday and Saturday,2 AM to 5: 30 AM
1732,,,Sai Baba Layout ( 4th to 111th cross),,5:30 AM to 9 AM
1733,,,"Manjunath Layout ( 13th, 14th Cross)",Monday and Thursday,4:30 PM to 7:30 PM
1734,,,Green Garden Layout Main Road ,,
1735,,,Sai Baba Layout 4th A Cross,Tuesday and Friday,
1736,,,Sai Baba Layout - 2nd Phase,All Days,4:30 PM to 7:30 PM
1737,,,Green Garden Layout,,
1738,,,Raghavendra Layout,,
1739,,,Victorian Medhouse,,
1740,,,Gulmohar Enclave Road,,
1741,,,Silver Spring Layout Main Road,,
1742,,,P R Layout - 3rd A Cross,"Wednesday, Saturday and Sunday",7 PM to 6AM
1743,,,"P R Layout- 1, 2nd, 3rd B Croos","Tuesday, Thursday and Friday",
1744,,,Ayyappa Layout - 5th Cross,Tuesday and Friday,
1745,,,"Ayyappa Layout - 4th Cross, 3rd Cross, 2nd Cross, 1st Cross",Wednesday and Saturday,
1746,,,CKB Layout ,All Days,2 PM to 7 PM
1747,,,MSR Layout- 1st Cross,3 days - Alternate Days,7 PM to 6AM
1748,,,"Bulk Consumption- Indicube, CESSNA, New Horizon, Prestige Sunside",All Days,11 PM to 6 AM
1749,,,"Bulk Consumption- iLife, RMZ, Adarsha, Intel, Global Techpark",All Days,2 PM to 11 PM
1750,,,Veerappa Reddy Layout,Wednesday Sunday,7 PM to 2 AM
1751,,,Rainbow Layout,Saturday,7 PM to 2 AM
1752,,,Vinayaka Layout,Thursday,7 PM to 2 AM
1753,,,Manjunath Layout,"Monday, Friday",7 PM to 6 AM
1754,,,Papayya Garden,Thursday,2 PM to 6 AM
1755,,,Sokamma L/O,Friday,2PM to 6 AM
1756,,,Pattte L/O,Wednesday Sunday,7 PM to 2 AM
1757,,,Lilly Lane L/O,Thursday,7 PM to 6 AM
1758,,,Maruti L/O,Thursday Tuesday,7 PM to 6 AM
1759,,,Shantiniketan L/O,All Days,7 PM to 6 AM
1760,,,Gayatri L/O,Wednesday Sunday,7 PM to 2 AM
1761,,Hoodi,"Byrappa Layout, Brooke Bond",Monday,3.00 am to 7.00 am
1762,,,Vinayaka Layout,,9.00 pm to 12.30 pm
1763,,,Sai Layout,,3.00 am to 7.00 am
1764,,,Inner Circle and Outer Circle,,3.00 am to 7.00 am
1765,,,Karimariyamma Temple Street,,5.00am to 7.00 am
1766,,,Dodsworth Layout,,11.00 pm to 3.00 am
1767,,,Prashanth Layout,,11.00 pm to 3.00 am
1768,,,ECC Road,,11.00 pm to 6.00 am
1769,,, Brindavan layout and Vinayaka Layout,,6.30 am to 9.00 am
1770,,,"Mytri Layout, Patalamma Layout, Muneshwara Nagara",,6.30 am to 9.00 am
1771,,,1st cross to 5th cross Ayyappanagar 1st  block,,4.00 am to 10.00 am
1772,,,Ayyappanagar 4th Block and cross roads,,11.00 pm to 10.00 am
1773,,,Hoodi Village 1st cross to 5th cross and Surrounding roads,Tuseday,6.30 am to 3.00 am
1774,,,Ayyappanagar 1st Block and cross roads,,11.00 pm to 10.00 am
1775,,,Thigalarapalya and Surrounding roads,,6.30 am to 9.00 am
1776,,,5th cross to10th cross Ambedkar Ghutta,,4.30 am to 10.00 am
1777,,,Anugaraha Layout and Surrounding Roads,,6.30 am to 10.00 am
1778,,,Ayyappanagar 2nd Block and cross roads,Wednesday,11.00 pm to 10.00 am
1779,,,Ayyappanagar 2nd Block and cross roads,Thursday,11.00 pm to 10.00 am
1780,,,Thigalarapalya and Surrounding roads,,9.00 am to 4.00 pm
1781,,,"Byrappa Layout, Brooke Bond",Friday,3.00 am to 7.00 am
1782,,,Vinayaka Layout,,9.00 pm to 12.30 pm
1783,,,Sai Layout,,3.00 am to 7.00 am
1784,,,Inner Circle and Outer Circle,,3.00 am to 7.00 am
1785,,,Karimariyamma Temple Street,,5.00am to 7.00 am
1786,,,Dodsworth Layout,,11.00 pm to 3.00 am
1787,,,Prashanth Layout,,11.00 pm to 3.00 am
1788,,,ECC Road,,11.00 pm to 6.00 am
1789,,, Brindavan layout and Vinayaka Layout,,6.30 am to 9.00 am
1790,,,"Mytri Layout, Patalamma Layout, Muneshwara Nagara",,6.30 am to 9.00 am
1791,,,Shanti Nagar/ Anugraha Layout ,,7.00 am to 6.00 pm
1792,,,Thigalarapalya and Surrounding roads,,9.00 am to 4.00 pm
1793,,,Ayyappa Nagar Om shakti Layout,Saturday,11.00 pm to 10.00 am
1794,,,Ayyappa Nagar 3rd and 4th Block and Cross Roads,,11.00 pm to 10.00 am
1795,,,,,5.00 pm to Sunday 7.00pm
1796,,,Ayyappa nagar 3rd Block and cross roads,Sunday,7.00 pm to 7.00 am
1797,,AECS-1,"AECS Layout - C Block, Thippa Reddy Layout, Srinivasa Reddy Layout ",Once in 3 Days,4 Hours
1798,,,AECS - E & D Block,Once in 3 Days,12:00 PM to 8:00 AM
1799,,,AECS A & B Block,Once in 3 Days,12:00 PM to 8:00 AM
1800,,,"Vaikuntam Layout, Lakshmi Narayanapura",Tuesday & Saturday,4 Hours
1801,,,Hanumantha Layout,Tuesday & Thursday,4 Hours
1802,,,Friends Layout ,,6 Hours
1803,,,"7, 8 & 9th cross Chinnappanahalli ",,4 Hours
1804,,,"Vinayaka Layout, V Narayana Reddy Layout, Doddanekkundi Extension","Monday, Tuesday & Friday",4 Hours
1805,,,Ferns City,,Night 8 Hours
1806,,,Chinnappanahalli 1st cross upto 6th 'C' cross,,
1807,,,"Maruthi Nagar, Earappa Reddy Layout, Kodanda Rama Reddy Layout.",Tuesday & Thursday,4:00 AM to 8:00 AM
1808,,,Hemanth Nagar,Monday & Friday,12:00 PM to 6:00 AM
1809,,,RJ Garden,,
1810,,,Kundhalahalli Colony,Saturday & Sunday,8:00 PM to 8:00 PM - 24Hours
1811,,,Kundalahalli Village,Wednesday & Sunday,12:00 PM to 6:00 AM
1812,,,Ashwath Nagara,Monday & Friday,1:00AM to 5:00 AM
1813,,,"Hoodi- Basavannanagar road, Nagappa Layout, Thimmareddy Industrial Layout, Thimma Reddy Layout, Rajhalakshmi Layout, Satya Sai Layout, SV Layout, Puttanna Layout, Srinivasa Reddy Layout",Sunday & Thursday,11:00 pm to 9:00 am
1814,,,"Basavanna Nagar, Maruthi Layout, Sundaram Reddy Layout, Ganesh Reddy Layout",Tuesday,10:00 pm to 9:00 am
1815,,,Seetharam Palya,Sunday,5:00 am to 9:00 am
1816,,,"Maheshwari Nagar, Panchaythi Layout, Ambedkarnagar, Ramakka Layout, Church road",Wednesday,10:00 pm to 10:00 pm (24 Hours)
1817,,,"Chikkanna Layout, VST Layout",Once in a week,10:00 pm to 10:00 pm (24 Hours)
1818,,,"Lakshmi Sagar , RHB Colony",Wednesday & Saturday,4:00 am to 11:00 pm
1819,,,"Ramanjaneyya Layout, Kanaka Layout",Monday & Thursday,7:00 am to 12:00 Noon
1820,,,"Muthkurappa Layout, Shetty Layout",Tuesday & Friday,11:00 pm to 7:00 am
1821,,,"Papareddy Layout, Three Temples road",Monday,10:00 pm to 10:00 pm (24 Hours)
1822,,,Nagappa Layout,Friday,10:00 pm to 10:00 pm (24 Hours)
1823,,,Garudacharpalya Thotha,Tuesday ,6:00 am to 10:00 am
1824,,,"Kanegalu, Mani Layout",Thursday,6:00 am to 10:00 am
1825,,,"Kaveri Nagara 1st main, Pilla Reddy  road to New Mashan road 2nd cross, Society road",Friday,12:00 Night to 5:00 am
1826,,,"Vinayaka Layout 1st cross, Mariyamma temple 2nd & 3rd cross, Ayyappa Temple - 5 roads, Muthu Mariyamma Temple",Saturday,12:00 Night to 5:00 am
1827,,,"Vinayaka Layout 4th cross Masjid road, ",Wednesday,12:00 Night to 5:00 am
1828,,,"Chowdeswari Temple - 2 Roads,  Old mashan Road,  Urdu School - 3 Roads",Thursday,12:00 Night to 5:00 am
1829,,,"Om Shakthi Layout, Krishna Temple Road.",Once in a Week,Once in a Week for each Road
1830,,,"Muneshwara Temple Road, Akkamma Road, Muniyappa Road, Airtel Office Road, Yellappa Office Road, Pendal Road",Monday,12:00 Night to 5:00 am
1831,,,"Shani Mahatma Road, Venkat House to Akkamma Road, Palm oil Road, Om Shakthi Road - 2 roads",Tuesday,12:00 Night to 5:00 am
1832,,,"Pattandur Agrahara, White Field ",Sunday ,7:00 am to 11:00 am
1833,North East - 3,Anand Nagar Service Station,Chinanna layout Hebbal,1,10:00  AM to 11.00 AM
1834,,,Gangamma layout,1,09:00  AM to 10.00 AM
1835,,,Gangamma layout 1st cross,1,09:00  AM to 10.00 AM
1836,,,Nallappa layout,1,10:00  AM to 11.00 AM
1837,,,Guddahalli Ashwath katte,1,09:00  AM to 10.00 AM
1838,,,Nagenhalli church,1,11:00 AM to 12.00 
1839,,,"Ayyappa swami layout,  Cholanayakana halli",1,11:00 AM to 12.00 
1840,,,Tent road Hebbal,1,07.00 PM to 08.00 PM
1841,,,sunrise colony,1,10:00  AM to 11.00 AM
1842,,,Guddahalli main road 1st part,1,04.00PM to 05.00 PM
1843,,,Hebbal A block,1,08:00 AM to 09.00 AM
1844,,,Nagenhalli main road 1st part,1,03.00 PM to 04.00 PM
1845,,,Nagenhalli main road,1,03.00 PM to 04.00 PM
1846,,,Guddahalli main road ragi mission,1,11:00 AM to 12.00 
1847,,,Kunthi grama A block,1,06.00 PM to 07.00 PM
1848,,,Kempanna layout guddahalli circle,1,11:00 AM to 12.00 
1849,,,Koli angadi Hebbal,1,06.00 PM to 07.00 PM
1850,,,Kempanna layout Nagenhalli,1,08:00 AM to 09.00 AM
1851,,,CIL layout,1,10:00 AM to 11.00 AM
1852,,,Guddahalli main road 3rd part,1,10:00 AM to 11.00 AM
1853,,,Ashwath katte road hebbal,1,08:00 AM to 09.00 AM
1854,,,Guddahalli main road 4th part,1,06:00 AM to 07.00 AM
1855,,,Subramanya nagar Hebbal,1,08:30 AM to 09:30 AM
1856,,,Shivashankara block 4th cross Hebbal,1,02:00 PM to 03:00 PM
1857,,,Sadanna bayanna layout hebbal,1,04:00 PM to 05:00 PM
1858,,,Neeru Bhavi kempanna layout,1,02:00 PM to 03:00 PM
1859,,,Indra block Hebbal,1,07:00 AM to 08:00 AM
1860,,,4th cross Babu reddy layout,1,06:00 AM to 07.00 AM
1861,,,Babu reddy layout 5th cross Bakery road,1,07:00 AM to 08:00 AM
1862,,,5th cross Babu reddy layout,1,08:00 AM to 09.00 AM
1863,,,"Vijay bharti school 8,9th cross",1,07:00 AM to 08:00 AM
1864,,,"Vijay bharti school 6, 7th cross",1,09:00 AM to 10:00 AM
1865,,,Vijay bharti school 1 to 5th cross,1,10:00 AM to 11.00 AM
1866,,,Varadaraja road,1,04:00 PM to 05:00 PM
1867,,,Narasimha swamy temple,1,03:00 PM to 04:00 PM 
1868,,,2nd cross Babu reddy layout,1,02:00 PM to 04:00 PM
1869,,,3rd cross Babu reddy layout,1,04:00 PM to 05:00 PM
1870,,,"Kanaka nagar 6th cross to 10th ""A"" cross",2,03:00 PM to 05:00 PM 
1871,,,Thomas school road 1st cross,2,03:00 PM to 04:00 PM 
1872,,,Bhuvaneshwari nagar VCK angadi valve,2,02:00 PM to 03:00 PM
1873,,,Tempo stand kanakanagar,2,01:00 PM to 02:00 PM
1874,,,Pavitra bar main valve 2nd cross kanakanagar,1,12:00 PM to 01:00 PM
1875,,,Kushalappa Layout,2,03:00 PM to 04:00 PM 
1876,,,chandra hardware 5th A cross,1,04:00 AM to 05:00 AM
1877,,,Bhuvaneshwari nagar MK traders,1,10:00 AM to 11.00 AM
1878,,,Bhuvaneshwari nagar Kalpita bar road,1,08:00 AM to 09.00 AM
1879,,,Bhuvaneshwari nagar 9th cross,1,10:00 AM to 11.00 AM
1880,,,Bhuvaneshwari nagar 5th cross medical,1,11:00 AM to 12.00 AM
1881,,, Bhuvaneshwari nagar 9 11 12 13th cross(godown road),1,02:00 PM to 03:00 PM
1882,,,AMB school down 4th cross,1,12:00 PM to 01:00 PM
1883,,,10th cross Dental valve,2,03:00 PM to 05:00 PM 
1884,,,7th cross Smh store,1,02:00 PM to 03:00 PM
1885,,,Bhuvaneshwari nagar Bakery road,1,08:00 PM to 09:00 PM
1886,,,Kanaka nagar 14th to 17th cross(udupi hotel valve),1,11:00 AM to 12.00 AM
1887,,,Kanaka nagar 18th cross to 21st cross,1,08:00 PM to 09:00 PM
1888,,,Kanakanagar 3rd cross Devi Bar,1,11:00 AM to 12:00 AM
1889,,,"Kanakanagar 6, 7th cross Alphonso Church",2,05:00 PM to 06:00 PM
1890,,,Bhuvaneshwari nagar 3rd cross Part 2,1,03:00 PM to 04:00 PM 
1891,,,Bhuvaneshwari nagar 3rd cross Part 1,1,02:00 PM to 03:00 PM
1892,,,Bhuvaneshwari nagar 4th cross,1,04:00 PM to 05:00 PM
1893,,,Kanakanagar 1st cross D to H block,2,10:00 AM to 11.00 AM
1894,,,Bilal masidi kanakanagar,2,07:00 PM to 08:00 PM
1895,,,1st cross C block ganapathi devastana,2,06:00 PM to 07:00 PM
1896,,,1st cross A to C block kanakanagar,2,05:00 PM to 06:00 PM
1897,,,1st cross jhopdi bhuvaneshwari nagar,1,04:00 PM to 05:00 PM
1898,,,Ann maria school bhuvaneshwari nagar,1,03:00 PM to 04:00 PM 
1899,,,Kanakanagar 6th cross,2,05:00 PM to 06:00 PM
1900,,,Bhuvaneshwari nagar 4th cross (bombay tailors),1,02:00 PM to 03:00 PM
1901,,,AMB school 4th A cross,1,06:00 PM to 07:00 PM
1902,,,14th A cross med plus valve,2,11:00 AM to 01:00 PM
1903,,, Amarjyothi layout 2  3 & 4th Main road ,1,04:00 PM to 06:00 PM
1904,,,Anand Nagar 1st block 1st step,1,10:00 AM to 12.00 
1905,,,Anandnagar 1st block 2nd step,1,7:00 PM to 09:00 PM
1906,,,Gundappa Rdddy Layout,1,06:00 PM to 08:00 PM
1907,,,Balaji Layout,1,05:00 PM to 06:00 PM
1908,,,Amarjyothi layout 2nd main road kupparaju school,1,04:00 PM to 06:00 PM
1909,,,AGS colony 5th main road,1,03:00 PM to 05:00 PM 
1910,,,MSH layout,1,12:00 PM to 02:00 
1911,,,SBM 1st main road,1,07:00 PM to 09:00 PM
1912,,,SBM layout,1,12:00 PM to 02:00 PM
1913,,,Venugopal layout,1,07:00 AM to 09:00 AM
1914,,,Traffic police station main valve,1,07:00 AM to 9:00 AM
1915,,,AGS colony 2.3.4th cross,1,10:00 AM to 12.00 AM
1916,,,Vasanatappa block RBI colony,1,02:00 PM to 04:00 PM
1917,,,SBM 3rd cross road,1,07:00 AM to 09:00 AM
1918,,,HMT layout,1,07:00 AM to 9:00 AM
1919,,,SBM 4th main valve,1,07:00 AM to 9:00 AM
1920,,,AGS colony right side,1,07:00 AM to 9:00 AM
1921,,,Narayan reddy main valve,1,04:00 PM to 05:00 PM
1922,,,Seetappa layout 1st main cholanayakanahalli,1,12:00 PM to 02:00 PM
1923,,,Seetappa layout acharya college road,1,08:00 AM to 10.00 AM
1924,,,Seetappa layout tank road,1,12:00 PM to 02:00 PM
1925,,,Seetappa layout 2nd cross behind dental college,1,09:00 PM to 10:00 PM
1926,,,2nd cross gundappa reddy layout,1,04:00 PM to 06:00 PM
1927,,,Annapoorneshwari B line,1,03:00 PM to 05:00 PM 
1928,,,Annapoorneshwari opp line,2,06:00 PM to 07:00 PM
1929,,,Chinnamari layout Main valve,1,02:00 PM to 03:00 PM
1930,,,Cholanayakanahalli shambulingeshwara temple,1,02:00 PM to 03:00 PM
1931,,,Yelu mallamma temple,1,10:00 AM to 12:00 AM
1932,,,Gayatri temple chamundi nagar,1,10:00 AM to 12:00 AM
1933,,,Muneshwara block 1st cross,1,02:00 PM to 03:00 PM
1934,,,Muneshwara block 2nd cross,1,02:00 PM to 03:00 PM
1935,,,Shrishankara 4th cross,1,04:00 PM to 06:00 PM
1936,,,Shrishankara road 3rd cross,1,07:00 PM to 12:00 PM
1937,,,1st cross SSA road kunti grama down,1,03:00 PM to 04:00 PM 
1938,,,1st main police station road,1,11:00 AM to 04:00 PM
1939,,,2nd main police station down road,1,07:00 AM to 12:00 
1940,,,5th cross bairappa road,1,06:00 PM to 07:00 PM
1941,,,6th cross anandnagar yamaha showroom,1,06:00 PM to 07:00 PM
1942,,,Ananadnagiri Badavane 3rd cross,1,06:00 PM to 07:00 PM
1943,,,Basanna devastan,1,11:00 AM t0 12:00 AM
1944,,,Crescent school valve shrishankara block 1st cross,1,11:00 AM to 01:00 PM
1945,,,Hale bavi valve line,1,09:00 AM to 11:00 AM
1946,,,Kamat road valve line,1,12:00 PM to 01:00 PM
1947,,,kempamma devastana hebbal,1,02:00 PM to 03:00 PM
1948,,,Kuparaju bande,1,05:00 PM to 07:00 PM
1949,,,Maadu building workshop,1,09:00 PM to 02:00 AM
1950,,,Saaga hotel behind,1,07:00 PM to 08:00 PM
1951,,,Shrirama Shrishti apartment 5th cross,1,02:00 PM to 07:00 PM
1952,,,Shrishankara 2nd cross,1,02:00 PM to 03:00 PM
1953,,,7th Cross SSA Road 5th Cross,2,10:00 AM to 11.00 AM
1954,,,7th Cross SSA Road Naidammana Mane,2,12:00 PM to 01:00 PM
1955,,,7th cross Cholanayakanahalli SSA road left side,2,05:00 PM to 06:00 PM
1956,,,7th Cross SSA Road Right Side Valve,2,03:00 PM to 05:00 PM 
1957,,,SSA Raod 1st cross OPP CP,2,04:00 PM to 06:00 PM
1958,,,Rama Krishnappana Mane,2,01:00 PM to 02:00 PM
1959,,,7th Cross SSA Road 1st Cross Down,2,05:00 PM to 06:00 PM
1960,,,7th Cross SSA Road 2nd Cross,2,06:00 PM to 11:00 PM
1961,,,7th Cros SSA Road 3rd Cross,2,07:00 PM to 12:00 PM
1962,,,7th Cross SSA Road 4th Cross,2,05:00 PM to 06:00 PM
1963,,,7th Cross SSA Road 6th Cross,2,09:00 AM to 10:00 AM
1964,,,7th Cross SSA Road Railway Muniyappana Mane,2,11:00 AM to 12:00 AM
1965,,,Cholanayakanahalli Rajlakshmi bar,2,03:00 PM to 04:00 PM 
1966,,,Vinayaka layout anandnagar,2,03:00 PM to 06:00 PM
1967,,,6th cross Cholanayakanhalli rjalakshmi bar,2,04:00 PM to 05:00 PM
1968,,,Jayappa reddy mane himbaga,1,12:00 to 06:00 PM
1969,,,Tempo stand valve Bhuvaneshwari nagar,2,08:00 AM to 11:00 AM
1970,,BEL Road Service Station,MSR nagar pipeline,1,12:00 to 02:00 PM
1971,,,80ft main road,1,09:00 AM to 02.00 PM
1972,,,SR apartments MSR nagar 3rd main,1,10:00 AM to 11.00 AM
1973,,,80ft road 1 to 5th cross,1,09:00 AM to 02.00 PM
1974,,,anjaneya temple road,1,09:00 AM to 02.00 PM
1975,,,ITI layout,1,08:00 AM to 09.00 AM
1976,,,sampangappa layout 4 to 5th cross,1,04:00 AM to 05:00 AM
1977,,,sampangappa layout 1 to 3rd cross,1,04:00 AM to 05:00 AM
1978,,,MSR nagar 8th cross,1,10:00 AM to 11.00 AM
1979,,,sanjeevappa layout,1,10:00 AM to 11.00 AM
1980,,," Dollars colony 6, 7 main road",1,10:00 AM to 11.00 AM
1981,,,MLA layout,1,12:00 PM to 06:00 PM
1982,,,BDA layout,1,02.00 PM to 05:00 PM
1983,,,Gandhi school road,1,03:00 PM to 06:00 PM
1984,,,muneshwara temple road,1,04:00 PM to 09:00 PM
1985,,,laxmanappa layout,1,05:00 PM to 10:00 PM
1986,,,lotte gollarahalli,1,06:00 PM to 09:00 PM
1987,,,Venkatachari layout,1,06:00 PM to 09:00 PM
1988,,,Dollars colony 1 to 5th main road,1,06:00 PM to 10:00 PM
1989,,,3rd block,1,06:00 PM to 10:00 PM
1990,,,sangollirayanna road,1,06:00 PM to10:00 PM
1991,,,footmat road,1,06:00 PM to 11:00 PM
1992,,,AGS layout,1,06:00 PM to 11:00 PM
1993,,,Jaladarshini layout,1,08:00 PM to 09:00 PM
1994,,,Seenappa layout,1,08:00 PM to 09:00 PM
1995,,,Chikkamaranahalli HP bunk,1,10:00 AM to 11:00 AM
1996,,,Chikkamaranahalli devsandra,1,11:00 AM to 12:00PM
1997,,,MS Ramaiah layout basavasadana,1,12:00 PM to 03:00 PM
1998,,,Munihanmayya layout,1,01:00 PM to 02:00 PM
1999,,,Ramkrishna garden,1,04:00 PM to 05:00 PM
2000,,,sampangappa layout 1 to 3rd cross,1,04:00 AM to 05:00 AM
2001,,,ITI layout,1,08:00 AM to 09.00 AM
2002,,,SR apartments MSR nagar 3rd main,1,10:00 AM to 11:00 AM
2003,,,80ft road 1 to 5th cross,1,09:00 AM to 02.00 PM
2004,,,80ft main road,1,09:00 AM to 02.00 PM
2005,,,KGE layout,1,08:00 AM to 06:00 PM
2006,,,MSR nagar pipeline,1,12:00 PM to 02:00 PM
2007,,,MSR nagar 8th cross,1,10:00 AM to 11:00 AM
2008,,,AGS layout,1,06:00 PM to 07:00 PM
2009,,,sampangappa layout 4 to 5th cross,1,04:00 AM to 05:00 AM
2010,,Ganga Nagar Servise Station,Muttappa Block 1st cross to 4th cross,1,09:00 AM to 03:00 PM
2011,,,1st Main Ganganagar (Manjunath slum and Dena bank),1,12:00 PM to 04:00 PM
2012,,,3rd Main Ganganagar(Vasantappa Block),1,08:00 AM to 12:00 AM
2013,,,4th cross RBI colony,1,09:00 AM to 12:00 AM
2014,,,4th Main HGH LAYOUT Ganganagar,1,12:00:00 PM to 02:00 PM
2015,,,6th cross RBI colony,1,11:00 AM to 02:00 AM
2016,,,Bellery main road 6 inches valve suplly,1,09:00 AM to 07:00 AM
2017,,,Bellery main road CBI office,1,09:00 AM to 07:00 AM
2018,,,Ganganagar School Yellamma Temple,1,07:00 AM to 10:00 AM
2019,,,HMT layout 3rd cross,1,10:00 AM to 11:00 AM
2020,,,Lakshmayya Block  10 th and 12 cross CBI Ganganagar,1,03:00 PM to 09:00 PM
2021,,,Nrupatungga Extension 1st cross,1,08:00 AM to 11:00 AM
2022,,,Pillappa Block 9th and 10th cross,1,08:00 AM to 11:00 AM
2023,,,Gangappa Block 1st Main 2nd Cross 3rd Cross 4th Main,1,07:00 AM to 12:00 AM
2024,,,Bellary Road 5th Main,1,07:00 AM to 12:00 AM
2025,,,Bellary Road 1st to 4th Main (12 inch valve supply),1,06:00 AM to 09.00 AM
2026,,,Gangamma temple 6th main 6th cross (Pillappa block),1,08:00 AM to 11:00 AM
2027,,,6th main Gangamma temple left side(9th to 10th cross),1,08:00 AM to 12:00 AM
2028,,,Papanna block 3rd cross,1,07:00 AM to 11:00 AM
2029,,,RT nagar Main road  1st main (Judges colony),1,12:00 PM to 04:00 PM
2030,,,Vasanthappa block 1st cross and 2nd cross Ganganagar,1,10:00 AM to 12:00 AM
2031,,, 4th main 6th 7th and 7th A cross Vasantappa block,1,10:00 AM to 04:00 PM
2032,,,Gangenahalli Giddappa Block 5th Cross,1,08:00 PM to 11:00 PM
2033,,,KHM Block 4th Main,1,09:00 AM to 03:00 PM
2034,,,KHM Block 3rd Main,1,09:00 AM to 12:00 AM
2035,,,Krishnappa block 8th & 9th Cross,1,12:00 PM to 02:00 PM
2036,,,Ganganagar 4th main Valve3,1,09:00 AM to 03:00 PM
2037,,,Ganganagar 4th Main Valve1,1,09:00 AM to 03:00 PM
2038,,,Ganganagar 3rd Cross CPV Block Valve,2,10:00 AM to 02.00 PM
2039,,,Ganganagar 3rd Main Valve3,1,12:00 PM to 03:00 PM
2040,,,Ganganagar 2nd Main Valve4,1,07:00  AM to 10:00 AM
2041,,,Ganganagar 2nd Main Valve2,1,07:00  AM to 10:00 AM
2042,,,Ganganagar 1st Main Upside,1,06:00 PM to 10:00 PM
2043,,,KHM Block 7th Main,1,09:00 AM to 03:00 PM
2044,,,Vaani School 1st C Main Ganganagar,1,11:00 AM to 03:00 PM
2045,,,Vaani School 1st A Main Ganganagar,1,12:00 PM to 03:00 PM
2046,,,Krishnappa block 10th Cross,1,09:00 AM to 12:00 PM
2047,,,Krishnappa Block 6th & 7th Cross,2,12:00 PM to 03.00 PM
2048,,,Ganganagar 4th Main Valve2,1,09:00 AM to 03:00 PM
2049,,,Ganganagar 4th Cross CPV Block Valve,2,10:00 AM to 02.00 PM
2050,,,Ganganagar 30C Busstand Main Valve,1,07.00 PM to 10.00 PM
2051,,,Ganganagar 1st Main Downside,1,01:00 PM to 05:00 PM 
2052,,,Ganganagar 2nd Main Main Valve,1,07:00 AM to 10:00 AM
2053,,,Ganganagar 2nd Main Valve3,1,07:00 AM to 10:00 AM
2054,,,Ganganagar 3rd Main Main Valve,1,12:00 PM to 03:00 PM
2055,,,Ganganagar 3rd Main Valve2,1,12:00 PM to 03:00 PM
2056,,,Manjunath layout 4th cross,1,09:00 PM to 10:00 PM
2057,,,Manjunath layout 3rd cross,1,09:00 PM to 10:00 PM
2058,,,Mamatha school road,1,08:00 PM to 12:00AM
2059,,,4th cross Chowdayya block,1,06:00 PM to 09:00 PM
2060,,,3rd cross Chowdayya block,1,06:00 PM to 09:00 PM
2061,,,2nd cross Chowdayya block,1,02:00 PM to 04:00 PM
2062,,,1st cross Chowdayya block,1,02:00 PM to 04:00 PM
2063,,,Andhra mess valve,1, 04:00 PM to 05.30 PM
2064,,,Canteen valve,1,12:00 PM to 01.30 PM
2065,,,Bombay tailors down area valve,1,05:00 PM to 06:30 PM
2066,,,Bombay tailors Appanna block( close valve),1,04.00 PM to 06.30 PM
2067,,,Bombay tailors Appanna block (valve opens areas supply),1,02.00 PM to 04:00 PM
2068,,,Akkamma block 2nd cross Dinnur main road,1,07.00 PM to 10.00 PM
2069,,,Ajji mane valve HMT layout VV nagar,1,07.00 PM to 10.00 PM
2070,,,Aditya school valve opens,1,02.00 PM to 03.00PM
2071,,,9th cross poornima hospital pakkada road,1,04.00 PM to 06.30 PM
2072,,,5th C main road Appanna block (Banana shop) valve close areas supply,1,08.00 PM to 10.30 PM
2073,,,3rd Main kousar nagar,1,04.00 PM to 05.00 PM
2074,,,Thatana mane upside area,1,04.00 PM to 05.00 PM
2075,,,Tathana mane Kousar nagar majisainikara badavane,1,07.00 PM to 08.30 PM
