Area Wise Water Supply timings ,,,,,
SI NO,Subdivision,service Station,Area(in Detail),Days of Supply,Timings
177,,,"URBAN CLUSTER L/O, NISARGA L/O , S R L/O, P & T L/O",Wednesday,2pm-4pm
178,,,"SUBHASH NAGAR , BOSCO NAGAR , SHARAVATHI L/O ,  MANJUNATH L/O , J B L/O ,",,8.30am-11.30pm
179,,,"BHATARAHALLI ,BHANASHANKARI L/O ,BHUVANESHWARI L/0  , R M S COLONY , T C PALYA, MANJUNATH L/O",Thursday,11.30pm -2pm
180,,,"BAYANNA L/O , PEERLESS COLONY, AJITH L/O , VINAYAKA L/O,PATAKI GODOWN, BRUNDAVAN L/O",,2pm-4pm
181,,,No Supply,Friday,
182,,,"J B L/O , VINAYAKA L/O, SUNSHINE L/O",Saturday,8.30am-12pm
183,,,"AJITH L/O, R M S COLONY , SAI RAM L/O , URBAN CLUSTER L/O, SAI RAM L/O",,12pm -2pm
184,,,"BHANASHANKARI L/O, ANANDAPURA ,P & T l/o",,2pm-4pm
185,,,"K V L/O, V B L/O , MUNIYAPPA GARDEN  L/O , OIL MILL ROAD , KUMBAR BEEDI , NEW BAZAAR STREET",Sunday,9.30 am-11.30am
186,,,"NISARGA L/O , S R L/O",,11.30am-1 pm
187,,,"SUBHASH NAGAR, BHATARAHALLI , BOSCO NAGAR, T C PALYA",,1pm -3pm
188,,BASAVANAPURA AND DEVASANDRA  ,"SWATANTRA NAGAR, RR TEMPLE ROAD, SINGAIYANAPALYA",MONDAY,8.30am-11.30am
189,,,"VINAYAK NAGAR , PRIYADARSHINI L/O",,11.30am-2pm 
190,,,"MANJUNATH L/O, THIPPAIH L/O ,",,2pm-4pm
191,,,"RR TEMPLE ROAD,   ",,8.30am-12pm
192,,,"BHIMMAIH  L/O ,TRIVENI NAGAR, RAJIV GANDHI NAGAR, ",,12pm -2pm 
193,,,"FRIENDS ROAD,LASHKMI TENT ROAD NETRAVATHI L/O,",,2pm-4pm 
194,,,"B NARAYANAPURA ,KAMADHENU L/O, RAMAKRISHNA REDDY LAYOUT",Tuesday,9am -5pm
195,,,"VINAYAK NAGAR , BAZAAR STREET , LAKMIPURA BADAVANE, ",,8.30am-11.30pm 
196,,,"AMAR JYOTHI SCHOOL ROAD ,KRISHNA NAGAR, MANJUNATH L/O,",,11.30pm -2pm 
197,,,"NAVADEEP SCHOOL  ROAD , GOKUL L/O, MASJID ROAD",,2pm-4pm
198,,,"LITTLE BLOOM SCHOOL ROAD, ACHARI BANDE ,MECCA MASJID ROAD ",,8.30am-1pm 
199,,,"GEETHA CLINIC ROAD, , KUVEMPU ROAD, J C L/O,",,1pm -4pm 
200,,,"GAYATHRI L/O -1ST PHASE , MANJUNATH  L/Oñ 10 TO 12 crosses, SATHYA SAI BABA L/O",WEDNESDAY,8.30am-11.30pm 
201,,,"GAYATHRI L/O -2ND PHASE , SHIRDI SAI L/O, CROSSES MEDAHALLI VILLAGE ,MEDAHALLI EXTN, MUNESHWAR NAGAR ,",,11.30pm -2pm 
202,,,"GAYATHRI L/O -3RD PHASE, KANAKAPPA L/O , VINAYAK NAGAR , NEW RTO, BETHEL NAGAR,",,2pm-4pm
203,,,"VIJAYA BANK COLONY , MASJID ROAD ",THURSDAY,8.30am-11.30pm 
204,,,RIFCO SHANTINIKETN L/O,,11.30pm -2pm 
205,,,"WHITECITY LAYOUT, MANJUNATHA NAGARA, DOMINIC LAYOUT, ASHWINI LAYOUT",,2pm ñ 4pm
206,,,"ASHOK L/O,GAYATHRI L/O ",,2pm-4pm
207,,,"BHIMMAIH  L/O ,TRIVENI NAGAR, RAJIV GANDHI NAGAR, ",,12pm -2pm 
208,,,"FRIENDS ROAD,LASHKMI TENT ROAD NETRAVATHI L/O,",,2pm-4pm 
209,,,"GAYATHRI L/O -1ST PHASE , MANJUNATH  L/Oñ 10 TO 12 crosses ",FRIDAY,8.am-12pm 
210,,,"GAYATHRI L/O -2ND PHASE , SHIRDI SAI L/O, CROSSES PRAJAVANI L/O , RAJIV GANDHI NAGAR , ANAYAPPA L/O ",,12noon-4pm 
211,,,"PRIYANKA NAGARA, SIGEHALLI, DODDA BASAVANAPURA",,8 am ñ 12pm
212,,,"PARVATHI NAGARA, KARNASHREE LAYOUT, KANAKAPPA LAYOUT, ",,12PM ñ 4PM
213,,,"RR TEMPLE ROAD,  B N Pura 7th main ",,8.30am-12pm
214,,,RAMAKRISHNA REDDY LAYOUT,,9am-11am
215,,,"BETHEL NAGAR,SATHYA SAI BABA l/o , MUNESHWAR L/O ",SATURDAY,8am-4 am 
216,,,"B NARAYANAPURA ,KAMADHENU l/o, SINGAIYANAPALYA , RAILWAY QUARTERS ,",,8pm- 4 am 
217,,,"VIJAYA BANK COLONY , MASJID ROAD ,BRINDAVAN l/o ,CHIKKABASAVANAPURA",SUNDAY,9.30 am-11.30am
218,,,GAYATHRI L/O 1ST PHASE,,11.30am-1 pm 
219,,,"GEETHA CLINIC ROAD,J C L/O ",,1pm -4pm 
220,,,"B NARAYANAPURA ,KAMADHENU l/o, SINGAIYANAPALYA , RAILWAY QUARTERS ,",,8pm- 4 am 
221,,,"WHITECITY LAYOUT, MANJUNATHA NAGARA, DOMINIC LAYOUT, ASHWINI LAYOUT",,9am-12 noon 
222,EAST-4,A Narayanapura," UDAYANAGAR, SHAKTHINAGAR, PUSHPAJAJI THEATRE ROAD, GURUVA REDDY LAYOUT, A N PURA VILLAGE.",weekly 2 Supply,10.30 Am to 9.0 Pm
223,,,"DARGHA MOULLA, PAI LAYOUT, A N PURA. SAKKAMMA LAYOUT, NAGAPPA REDDY LAYOUT, NSR ROAD 1ST CROSS, 2ND CROSS, ITI LAYOUT, VENKATASWAMY REDDY LAOUT, A N PURA, ANDRA COLONY, VSR LAYOUT, UDAYANAGAR, GANGAPPA LAYOUT, KAVERI STREET,",,10.30 Am to 9.0 Pm
224,,Vignananagar,"MEG LAYOUT, RAMANJIPPA LAYOUT, GANGAIAH YAMMA STREET, GIDDAMMA LAYOUT, JAI LAKSHMI LAYOUT, NAGARAJAPPA LAYOUT.",,10.30 Am to 9.0 Pm
